text,createTime,musicMeta.musicName,musicMeta.musicAuthor,musicMeta.musicOriginal,musicMeta.musicAlbum,musicMeta.duration,videoMeta.duration,diggCount,shareCount,playCount,commentCount,mentions,hashtags
"If all you do is struggle, this one is for you. interview: @tellmemorehaha",1969-12-31 19:00:00,the night we met,favsoundds ,True,,34.0,44,385400,4582,1100000,2260,"[""@tellmemorehaha""]",[]
@dibrantreppy caught this man chiefing. Still a wonderful interview with some deep insights on adulthood.,1969-12-31 19:00:01,Watermelon Sugar X Seaside,Vazer,False,Watermelon Sugar X Seaside,60.0,41,94700,768,590500,500,"[""@dibrantreppy""]",[]
The world needs more people like this guy. @dibrantreppy - interview credit,1969-12-31 19:00:02,the night we met,favsoundds ,True,,34.0,45,64900,1236,441600,494,"[""@dibrantreppy""]",[]
Her voice is so calming. Thanks @areyouhappy_marist for this interview.,1969-12-31 19:00:03,the night we met,favsoundds ,True,,34.0,59,101000,2233,377600,1331,"[""@areyouhappy_marist""]",[]
This man just walked up to us. So I asked him if he was happy. @dibrantreppy interview credit #areyouhappy #bronx #bxny #homelessness,1969-12-31 19:00:04,original sound,Are You Happy?,True,,58.0,58,43900,568,258500,192,"[""@dibrantreppy""]","['areyouhappy', 'bronx', 'bxny', 'homelessness']"
Forget about what’s happened. You’re alive. #areyouhappy #roadtrip #newyorker #homelessness,1969-12-31 19:00:05,the night we met,favsoundds ,True,,34.0,46,20800,575,154500,205,[],"['areyouhappy', 'roadtrip', 'newyorker', 'homelessness']"
He smiled after saying no though. @dibrantreppy did this interview.,1969-12-31 19:00:06,original sound,Matthew Hall,True,,38.0,19,764600,7588,3200000,5135,"[""@dibrantreppy""]",[]
Look this guy up in Denver. interview: @dibrantreppy  #areyouhappy #utah #archesnationalpark #naturelover #roadtrip,1969-12-31 19:00:07,the night we met,favsoundds ,True,,34.0,28,47500,208,405500,199,"[""@dibrantreppy""]","['areyouhappy', 'utah', 'archesnationalpark', 'naturelover', 'roadtrip']"
The happiest people I’ve met haven’t had happy lives. #areyouhappy #utah #archesnationalpark #naturelover #roadtrip,1969-12-31 19:00:08,the night we met,favsoundds ,True,,34.0,60,5700000,71000,21000000,32900,[],"['areyouhappy', 'utah', 'archesnationalpark', 'naturelover', 'roadtrip']"
The comment section is for those that need someone to talk to. #uconn #storrs #archaeologist #archaeology,1969-12-31 19:00:09,stan,favsoundds ,True,,41.0,55,82100,489,692700,438,[],"['uconn', 'storrs', 'archaeologist', 'archaeology']"
We ask strangers if they’re happy. interview credit: @dibrantreppy,1969-12-31 19:00:10,original sound,Are You Happy?,True,,57.0,58,89600,1051,557400,540,"[""@dibrantreppy""]",[]
The message is clear: we are one. #onerace #unite #areyouhappy #motivationaldoc #happinessisyou,1969-12-31 19:00:11,original sound,Are You Happy?,True,,53.0,53,105200,3700,690700,1861,[],"['onerace', 'unite', 'areyouhappy', 'motivationaldoc', 'happinessisyou']"
Sometimes you have to ask hard questions to get real answers. @dibrantreppy - interview credit,1969-12-31 19:00:12,Avril 14th,Aphex Twin,False,Drukqs,30.0,59,62900,749,510100,1089,"[""@dibrantreppy""]",[]
I thought he was going to be angry with me... Thanks @dibrantreppy for this interview. #connecticut #motivationaldoc #motivationalmoment,1969-12-31 19:00:13,Runaway by Kanye Piano,Henry Cantu,True,,49.0,53,60000,942,470500,306,"[""@dibrantreppy""]","['connecticut', 'motivationaldoc', 'motivationalmoment']"
It’s never to late to learn how to love again. Thank you @dibrantreppy for this interview. #loveconquershate #loveconfesion #loveaboveallthings,1969-12-31 19:00:14,Runaway by Kanye Piano,Henry Cantu,True,,49.0,58,57400,1678,398400,349,"[""@dibrantreppy""]","['loveconquershate', 'loveconfesion', 'loveaboveallthings']"
You’re alive. Just keep going. @dibrantreppy thanks for this interview. #uconn #storrs #connecticut #motivationaldoc #motivationalmoment,1969-12-31 19:00:15,Night Trouble By Petit Biscuit,Tyler,True,,58.0,41,1200000,37100,5200000,13300,"[""@dibrantreppy""]","['uconn', 'storrs', 'connecticut', 'motivationaldoc', 'motivationalmoment']"
For those asking where the happy guy has been. Follow  @happy__people to follow our progress. #downsyndromeawareness #cerebralpalsy #specialneeds,1969-12-31 19:00:16,original sound,Are You Happy?,True,,120.0,121,32700,480,348400,326,"[""@happy__people""]","['downsyndromeawareness', 'cerebralpalsy', 'specialneeds']"
Can money buy happiness? #financestrategist #spiritualitytiktok #happinessproject,1969-12-31 19:00:17,Fantasy dream,上野燿,False,,126.0,137,16500,1365,280000,286,[],"['financestrategist', 'spiritualitytiktok', 'happinessproject']"
I made a promise a year ago. Now I have to make good on it. #areyouhappy #utah #springdaleutah #sandhollow #sandhollowutah,1969-12-31 19:00:18,original sound,Are You Happy?,True,,171.0,172,97600,2844,559800,1212,[],"['areyouhappy', 'utah', 'springdaleutah', 'sandhollow', 'sandhollowutah']"
I met some Albanians the other day and had a very interesting experience. #albanians #albaniancheck #shqiptar #3minutevideo #fyp,1969-12-31 19:00:19,original sound,Are You Happy?,True,,176.0,176,17200,172,239400,154,[],"['albanians', 'albaniancheck', 'shqiptar', '3minutevideo', 'fyp']"
Reply to @feliciastaropoli @dibrantreppy thank you for this interview. #uconn #storrs #connecticut #huskies #uconnhuskies,1969-12-31 19:00:20,original sound,Are You Happy?,True,,55.0,55,19100,284,213200,97,"[""@feliciastaropoli"",""@dibrantreppy""]","['uconn', 'storrs', 'connecticut', 'huskies', 'uconnhuskies']"
The message is clear: take a moment. Thanks @dibrantreppy for this interview. #uconn #connecticut #rollerskate #rollerskater #storrs,1969-12-31 19:00:21,ghost town (voice memo),Chloe George,False,ghost town (voice memo),60.0,55,327000,4288,1500000,1685,"[""@dibrantreppy""]","['uconn', 'connecticut', 'rollerskate', 'rollerskater', 'storrs']"
@dibrantreppy thanks for this interview. Her message is clear: we don’t have much time left. #timeisfake #momsoftiktok #mothers #momsknowbest,1969-12-31 19:00:22,Night Trouble By Petit Biscuit,Tyler,True,,58.0,59,31200,192,285500,234,"[""@dibrantreppy""]","['timeisfake', 'momsoftiktok', 'mothers', 'momsknowbest']"
@dibrantreppy thanks for this interview. Love this guy’s message #thepastisthepast #thefutureisnow #letitgo #youarenotyourthoughts #bestill,1969-12-31 19:00:23,Runaway by Kanye Piano,Henry Cantu,True,,49.0,46,17900,873,182200,98,"[""@dibrantreppy""]","['thepastisthepast', 'thefutureisnow', 'letitgo', 'youarenotyourthoughts', 'bestill']"
Reply to @feliciastaropoli to watch the full interview click link in my bio. #unite #togetherwecan #weareunited #unitedwestand,1969-12-31 19:00:24,Runaway by Kanye Piano,Henry Cantu,True,,49.0,46,17200,396,165100,142,"[""@feliciastaropoli""]","['unite', 'togetherwecan', 'weareunited', 'unitedwestand']"
The message is clear. We all should get along. #unite #areyouhappy #motivationaldoc #happinessisyou,1969-12-31 19:00:25,Runaway by Kanye Piano,Henry Cantu,True,,49.0,27,163700,5349,1200000,4155,[],"['unite', 'areyouhappy', 'motivationaldoc', 'happinessisyou']"
The message is clear: reconnect. #snowshoe #snowshoemountain #hikingadventures #mountainview  #PepsiApplePieChallenge,1969-12-31 19:00:26,Night Trouble By Petit Biscuit,Tyler,True,,58.0,42,11700,150,150300,76,[],"['snowshoe', 'snowshoemountain', 'hikingadventures', 'mountainview']"
Keep hope alive everyone! Hope is stronger than anything. #derbyct #keephopealive #positivevibesonly #positiveaffirmations #connecticut,1969-12-31 19:00:27,Outro,M83,False,"Hurry Up, We're Dreaming",30.0,25,11300,135,136000,58,[],"['derbyct', 'keephopealive', 'positivevibesonly', 'positiveaffirmations', 'connecticut']"
The message is clear: Don’t stop. #ramtruck #ramtrucks #ramtrucknation #carwashing,1969-12-31 19:00:28,Big Little Lies (TV Theme),Voidoid,False,Big Little Lies (TV Theme),30.0,21,8989,69,140100,45,[],"['ramtruck', 'ramtrucks', 'ramtrucknation', 'carwashing']"
The message is clear: life is meant to be lived. #areyouhappy #leocarillobeach  #malibu #pacificcoasthighway #losangelesbeach,1969-12-31 19:00:29,Calico,Haux,False,Calico,60.0,27,7588,20,121000,43,[],"['areyouhappy', 'leocarillobeach', 'malibu', 'pacificcoasthighway', 'losangelesbeach']"
The message is clear: balance. #holland #dutch #netherlands #delftnederland #nederland,1969-12-31 19:00:30,original sound,Are You Happy?,True,,17.0,17,3171,14,106000,16,[],"['holland', 'dutch', 'netherlands', 'delftnederland', 'nederland']"
2020 was a great year for self reflection and happiness. #areyouhappy #uconn #uconnhuskies #storrs,1969-12-31 19:00:31,Send Me on My Way,Vibe Street,False,Vibin' on Em (The Remix)- EP,60.0,59,4398,78,102200,35,[],"['areyouhappy', 'uconn', 'uconnhuskies', 'storrs']"
Find your inner child,1969-12-31 19:00:32,original sound,Are You Happy?,True,,6.0,6,2237,2,103500,18,[],[]
This just proves we all need to reflect on what we do have. #derbyct #connecticut #positivepsychology #mindfulness,1969-12-31 19:00:33,Runaway by Kanye Piano,Henry Cantu,True,,49.0,59,9625,89,104700,55,[],"['derbyct', 'connecticut', 'positivepsychology', 'mindfulness']"
This might be my favorite interview we’ve done on this page.,1969-12-31 19:00:34,Calico,Haux,False,Calico,60.0,59,15000,178,137500,201,[],[]
The message is clear: never settle. #rockclimbing #mountainclimbing #scrambling #rockscrambling,1969-12-31 19:00:35,Where My Love (Edit),Fallo,False,Mode Down,60.0,18,15900,50,147400,42,[],"['rockclimbing', 'mountainclimbing', 'scrambling', 'rockscrambling']"
"Together, let’s make a real difference. #downsyndromeawareness #specialneedsmom #specialneedskid #nonprofit",1969-12-31 19:00:36,Where My Love (Edit),Fallo,False,Mode Down,60.0,55,24800,4968,125500,372,[],"['downsyndromeawareness', 'specialneedsmom', 'specialneedskid', 'nonprofit']"
Reply to @feliciastaropoli Do you struggle to love yourself?,1969-12-31 19:00:37,original sound,Are You Happy?,True,,35.0,35,9102,109,121200,71,"[""@feliciastaropoli""]",[]
The wisdom of the youth in Albania. Amazing! #albanian #kosovatiktok #prishtine #prishtina,1969-12-31 19:00:38,Night Trouble By Petit Biscuit,Tyler,True,,58.0,35,188800,2157,1200000,824,[],"['albanian', 'kosovatiktok', 'prishtine', 'prishtina']"
I’m hoping this video could change things. #areyouhappy #downsyndromeawareness #downsyndromebaby #specialneedschild #mentalhealthtiktoks,1969-12-31 19:00:39,Stuck in the Middle,Tai Verdes,False,Stuck in the Middle,60.0,29,18600,1113,144300,143,[],"['areyouhappy', 'downsyndromeawareness', 'downsyndromebaby', 'specialneedschild', 'mentalhealthtiktoks']"
I’m already nostalgic for the early-quaràntine vibes. #areyouhappy #brooklynbridge #brooklyn #newyorker,1969-12-31 19:00:40,Night Trouble By Petit Biscuit,Tyler,True,,58.0,42,9660,76,119600,43,[],"['areyouhappy', 'brooklynbridge', 'brooklyn', 'newyorker']"
