text,createTime,musicMeta.musicName,musicMeta.musicAuthor,musicMeta.musicOriginal,musicMeta.musicAlbum,musicMeta.duration,videoMeta.duration,diggCount,shareCount,playCount,commentCount,mentions,hashtags
"If all you do is struggle, this one is for you. interview: @tellmemorehaha",2021-06-08 00:29:40,the night we met,favsoundds ,True,,34.0,44,385400,4582,1100000,2260,"[""@tellmemorehaha""]",[]
@dibrantreppy caught this man chiefing. Still a wonderful interview with some deep insights on adulthood.,2021-06-05 20:35:28,Watermelon Sugar X Seaside,Vazer,False,Watermelon Sugar X Seaside,60.0,41,94700,768,590500,500,"[""@dibrantreppy""]",[]
The world needs more people like this guy. @dibrantreppy - interview credit,2021-06-04 01:16:20,the night we met,favsoundds ,True,,34.0,45,64900,1236,441600,494,"[""@dibrantreppy""]",[]
Her voice is so calming. Thanks @areyouhappy_marist for this interview.,2021-06-02 23:33:27,the night we met,favsoundds ,True,,34.0,59,101000,2233,377600,1331,"[""@areyouhappy_marist""]",[]
This man just walked up to us. So I asked him if he was happy. @dibrantreppy interview credit #areyouhappy #bronx #bxny #homelessness,2021-06-02 02:16:16,original sound,Are You Happy?,True,,58.0,58,43900,568,258500,192,"[""@dibrantreppy""]","[{""id"":""605007"",""name"":""areyouhappy"",""title"":"""",""cover"":""""},{""id"":""1618953550595077"",""name"":""bronx"",""title"":"""",""cover"":""""},{""id"":""667405"",""name"":""bxny"",""title"":"""",""cover"":""""},{""id"":""4560020"",""name"":""homelessness"",""title"":"""",""cover"":""""}]"
Forget about what’s happened. You’re alive. #areyouhappy #roadtrip #newyorker #homelessness,2021-06-01 00:18:38,the night we met,favsoundds ,True,,34.0,46,20800,575,154500,205,[],"[{""id"":""605007"",""name"":""areyouhappy"",""title"":"""",""cover"":""""},{""id"":""7568"",""name"":""roadtrip"",""title"":""It's summer holidays, which means it's time to hit the road for a good old fashion road trip. Back your bags, jump in, and take us on an adventure!"",""cover"":""""},{""id"":""84933"",""name"":""newyorker"",""title"":"""",""cover"":""""},{""id"":""4560020"",""name"":""homelessness"",""title"":"""",""cover"":""""}]"
He smiled after saying no though. @dibrantreppy did this interview.,2021-05-30 23:04:02,original sound,Matthew Hall,True,,38.0,19,764600,7588,3200000,5135,"[""@dibrantreppy""]",[]
Look this guy up in Denver. interview: @dibrantreppy  #areyouhappy #utah #archesnationalpark #naturelover #roadtrip,2021-05-30 01:44:05,the night we met,favsoundds ,True,,34.0,28,47500,208,405500,199,"[""@dibrantreppy""]","[{""id"":""605007"",""name"":""areyouhappy"",""title"":"""",""cover"":""""},{""id"":""50698"",""name"":""utah"",""title"":"""",""cover"":""""},{""id"":""10837545"",""name"":""archesnationalpark"",""title"":"""",""cover"":""""},{""id"":""185887"",""name"":""naturelover"",""title"":"""",""cover"":""""},{""id"":""7568"",""name"":""roadtrip"",""title"":""It's summer holidays, which means it's time to hit the road for a good old fashion road trip. Back your bags, jump in, and take us on an adventure!"",""cover"":""""}]"
The happiest people I’ve met haven’t had happy lives. #areyouhappy #utah #archesnationalpark #naturelover #roadtrip,2021-05-29 00:43:53,the night we met,favsoundds ,True,,34.0,60,5700000,71000,21000000,32900,[],"[{""id"":""605007"",""name"":""areyouhappy"",""title"":"""",""cover"":""""},{""id"":""50698"",""name"":""utah"",""title"":"""",""cover"":""""},{""id"":""10837545"",""name"":""archesnationalpark"",""title"":"""",""cover"":""""},{""id"":""185887"",""name"":""naturelover"",""title"":"""",""cover"":""""},{""id"":""7568"",""name"":""roadtrip"",""title"":""It's summer holidays, which means it's time to hit the road for a good old fashion road trip. Back your bags, jump in, and take us on an adventure!"",""cover"":""""}]"
The comment section is for those that need someone to talk to. #uconn #storrs #archaeologist #archaeology,2021-05-28 02:41:49,stan,favsoundds ,True,,41.0,55,82100,489,692700,438,[],"[{""id"":""306652"",""name"":""uconn"",""title"":"""",""cover"":""""},{""id"":""39947045"",""name"":""storrs"",""title"":"""",""cover"":""""},{""id"":""35796621"",""name"":""archaeologist"",""title"":"""",""cover"":""""},{""id"":""11553989"",""name"":""archaeology"",""title"":"""",""cover"":""""}]"
We ask strangers if they’re happy. interview credit: @dibrantreppy,2021-05-25 19:04:15,original sound,Are You Happy?,True,,57.0,58,89600,1051,557400,540,"[""@dibrantreppy""]",[]
